,R0_45c01,R1_45c01,C1_45c01,R2_45c01,C2_45c01,Wo1_0_45c01,Wo1_1_45c01
155,0.8007948485296298,0.10960753593118062,0.019675502530007705,0.10960753593118062,1.5890656494380886,154.4528153749798,0.0014097917357611262
156,0.8503821823847842,0.297135666842974,56.75154248636957,0.297135666842974,1.6168963385194122,149.23926409770422,0.009514282026750222
157,0.8463687310826888,0.3049136554741376,151.35737702657588,0.3049136554741376,1.1329229957246247,94.6542542304082,0.009808678038456094
158,0.8285778787183061,0.30431920561429776,149.14720756738467,0.30431920561429776,1.1204891783275248,93.22934802507105,0.009785668676787615
159,0.7824038700996624,0.24101716984562957,0.0014108656117144082,0.24101716984562957,1.5794936268611928,154.88141556854177,0.017943712317210744
160,0.7626640365036466,0.11008074357328128,0.019963961249476213,0.11008074357328128,1.6282814545852233,158.70188451058002,0.0014354288373410135
161,0.7669799944558648,0.10972935318969756,0.019895672736951947,0.10972935318969756,1.5534548808555302,149.0745746208642,0.0014319962012729367
162,0.7662474028126743,0.11015408504988466,0.01996874354881529,0.11015408504988466,1.56036549284923,149.498875664468,0.0014333317021327262
163,0.8122586885063214,0.3075157926579661,143.0092109084484,0.3075157926579661,1.1749724749589356,102.21035299785353,0.009921965129896878
164,0.7633513134263367,0.24289009071240172,0.0014387259658049983,0.24289009071240172,1.5807499179553073,154.29814569791623,0.017989737094569754
165,0.7702026026086255,0.10928011858486163,0.019967836028352157,0.10928011858486163,1.599660769889518,155.45918457100439,0.001439781357931959
166,0.7850049516932585,0.10975621254737669,0.020067247581750575,0.10975621254737669,1.604444458231845,155.5233756336899,0.0014407748895887526
167,0.7785325217343404,0.24510258025792545,0.0014310343263872131,0.24510258025792545,1.5839979900970016,154.07561899067866,0.018140267118640533
168,0.7782234545751577,0.11039109882200819,0.019966083652122667,0.11039109882200819,1.6074239163272432,155.09262255059141,0.0014131339138630727
169,0.7783501529849848,0.11006537056662147,0.020129568981369875,0.11006537056662147,1.5951353387896017,154.30077380131058,0.0014355355574530429
170,0.7723675455376634,0.10984418393657933,0.020073271785378502,0.10984418393657933,1.5392704483487663,141.4822965136165,0.0014089239688112013
171,0.8098449061689702,0.3085992891048683,140.90111769456323,0.3085992891048683,1.1644061882460435,100.23719652177685,0.009998381025277253
172,0.8007638876933905,0.3028184682598301,38.78253747071261,0.3028184682598301,1.3652415411126748,108.32211151535823,0.009758514818229884
