,R0_25c01,R1_25c01,C1_25c01,R2_25c01,C2_25c01,Wo1_0_25c01,Wo1_1_25c01
0,0.45473363839986475,0.5335771649008089,0.0016434451247374288,0.5335771649008089,1.806610083935786,154.21288935519644,0.027003667055201307
1,0.4604706952482759,0.5249642420169212,0.0016071720414390415,0.5249642420169212,1.7478091071141435,149.75260269511986,0.026038939665830173
2,0.46147457560453925,0.5220630011013986,0.0015628811628104046,0.5220630011013986,1.7290704102391266,144.15310241659748,0.02544510457583739
3,0.5528860991294042,0.6860947013045947,1819.4377875809919,0.6860947013045947,1.8904257597971794,137.72588547860713,0.00962367381066844
4,0.4635732081115395,0.296279642139488,0.027304265142214446,0.296279642139488,1.7821481117668465,144.53184635008512,0.001555262884743576
5,0.4642037045948053,0.2930402106544195,0.026906406169155295,0.2930402106544195,1.8412269372711365,153.45222820817526,0.0015413934056699335
6,0.5517732890699897,0.6797621457413895,32754.039632383206,0.6797621457413895,2.1752703402267937,171.74398987360436,0.009286011467096757
7,0.5511210708802451,0.6808940818099569,6453.397142760989,0.6808940818099569,2.085195653857545,157.37242895375718,0.009238444767108592
8,0.5503530610393915,0.6795774479858548,234608.69820458908,0.6795774479858548,2.2740475500123534,186.65108362412914,0.009171003624924652
9,0.4667328729141974,0.2877772581395482,0.027143889352204246,0.2877772581395482,1.813069712762363,148.85543209382166,0.0015817888695169656
10,0.5534334072137249,0.6696696060334442,24557.041863500093,0.6696696060334442,2.1976730556081234,175.3018221053106,0.009351910424417374
11,0.47332550036241083,0.29015632366831057,0.0271808552268177,0.29015632366831057,1.8403258918043202,150.75278272683673,0.0015916202751334848
12,0.5586029660338911,0.6799515702098352,133616.74796526847,0.6799515702098352,2.2177706157687904,177.93621530589294,0.009336998535716545
13,0.5607081455647538,0.679911484231334,6892.49631647973,0.679911484231334,2.0360077616938814,146.91647973380373,0.009349639566449732
14,0.5617815187641678,0.6738822805364928,24656.452461457684,0.6738822805364928,2.0003385431797116,144.18912984863036,0.009391167293590246
15,0.477245511224933,0.28710331868105593,0.02713598725009578,0.28710331868105593,1.8245804330070332,145.00142908460478,0.0015854972269436626
16,0.5642766068551309,0.6727217977527887,28219.757358140927,0.6727217977527887,2.0275646003256846,147.6436195353558,0.009506434348210977
17,0.4902228339452467,0.6802505122462178,47124.967679328416,0.6802505122462178,2.2373162536238644,176.2739093003079,0.009477689785534586
18,0.4935837214074612,0.6832862892218846,4633.578887863511,0.6832862892218846,2.178687196652382,170.44438863434073,0.009647526421144649
19,0.493999710010788,0.6838094794729127,11374.958679354613,0.6838094794729127,2.1732504643665194,168.93155164662898,0.009572485692523797
